customerID,Churn,Genero,Cliente_Jubilado,Pareja,Dependientes,Meses_Como_Cliente,Servicio_Telefonico,Multiples_Lineas,Servicio_Internet,Seguridad_Online,Copia_Seguridad_Online,Proteccion_Dispositivos,Soporte_Tecnico,Streaming_TV,Streaming_Peliculas,Contrato,Facturacion_Electronica,Metodo_Pago,Cargos_Mensuales,Cargos_Totales,Cuentas_Diarias
0002-ORFBO,False,Mujer,False,True,True,9,True,No,DSL,No,Yes,No,Yes,Yes,No,Anual,True,Mailed check,65.6,593.3,2.19
0003-MKNFE,False,Hombre,False,False,False,9,True,Yes,DSL,No,No,No,No,No,Yes,Mensual,False,Mailed check,59.9,542.4,2.0
0004-TLHLJ,True,Hombre,False,False,False,4,True,No,Fiber optic,No,No,Yes,No,No,No,Mensual,True,Electronic check,73.9,280.85,2.46
0011-IGKFF,True,Hombre,True,True,False,13,True,No,Fiber optic,No,Yes,Yes,No,Yes,Yes,Mensual,True,Electronic check,98.0,1237.85,3.27
0013-EXCHZ,True,Mujer,True,True,False,3,True,No,Fiber optic,No,No,No,Yes,Yes,No,Mensual,True,Mailed check,83.9,267.4,2.8
0013-MHZWF,False,Mujer,False,False,True,9,True,No,DSL,No,No,No,Yes,Yes,Yes,Mensual,True,Credit card (automatic),69.4,571.45,2.31
0013-SMEOE,False,Mujer,True,True,False,71,True,No,Fiber optic,Yes,Yes,Yes,Yes,Yes,Yes,Bianual,True,Bank transfer (automatic),109.7,7904.25,3.66
0014-BMAQU,False,Hombre,False,True,False,63,True,Yes,Fiber optic,Yes,No,No,Yes,No,No,Bianual,True,Credit card (automatic),84.65,5377.8,2.82
0015-UOCOJ,False,Mujer,True,False,False,7,True,No,DSL,Yes,No,No,No,No,No,Mensual,True,Electronic check,48.2,340.35,1.61
0016-QLJIS,False,Mujer,False,True,True,65,True,Yes,DSL,Yes,Yes,Yes,Yes,Yes,Yes,Bianual,True,Mailed check,90.45,5957.9,3.02
0017-DINOC,False,Hombre,False,False,False,54,False,No phone service,DSL,Yes,No,No,Yes,Yes,No,Bianual,False,Credit card (automatic),45.2,2460.55,1.51
0017-IUDMW,False,Mujer,False,True,True,72,True,Yes,Fiber optic,Yes,Yes,Yes,Yes,Yes,Yes,Bianual,True,Credit card (automatic),116.8,8456.75,3.89
0018-NYROU,False,Mujer,False,True,False,5,True,No,Fiber optic,No,No,No,No,No,No,Mensual,True,Electronic check,68.95,351.5,2.3
0019-EFAEP,False,Mujer,False,False,False,72,True,Yes,Fiber optic,Yes,Yes,Yes,No,Yes,No,Bianual,True,Bank transfer (automatic),101.3,7261.25,3.38
0019-GFNTW,False,Mujer,False,False,False,56,False,No phone service,DSL,Yes,Yes,Yes,Yes,No,No,Bianual,False,Bank transfer (automatic),45.05,2560.1,1.5
0020-INWCK,False,Mujer,False,True,True,71,True,Yes,Fiber optic,No,Yes,Yes,No,No,Yes,Bianual,True,Credit card (automatic),95.75,6849.4,3.19
0020-JDNXP,False,Mujer,False,True,True,34,False,No phone service,DSL,Yes,No,Yes,Yes,Yes,Yes,Anual,False,Mailed check,61.25,1993.2,2.04
0021-IKXGC,False,Mujer,True,False,False,1,True,Yes,Fiber optic,No,No,No,No,No,No,Mensual,True,Electronic check,72.1,72.1,2.4
0022-TCJCI,True,Hombre,True,False,False,45,True,No,DSL,Yes,No,Yes,No,No,Yes,Anual,False,Credit card (automatic),62.7,2791.5,2.09
